Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
,,R14,1k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~
,,R15,0,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~
,,R16,120,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~
,,R17,0,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~
,,R18,0,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~
,,SW1,SW_Push,Switch:SW_Push,Button_Switch_SMD:SW_SPST_PTS645,~
,,SW2,SW_DIP_x01,Switch:SW_DIP_x01,Button_Switch_THT:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W7.62mm_P2.54mm_LowProfile,~
,,U1,VL53L1X-parallel,Sensor_Distance_xtra:VL53L1X-SATEL,Sensor_Distance_xtra:VL53L1X_SATEL,
,,U2,FT232RL,Interface_USB:FT232RL,Package_SO:SSOP-28_5.3x10.2mm_P0.65mm,https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT232R.pdf
,,U3,ATmega4809-A,MCU_Microchip_ATmega:ATmega4809-A,Package_QFP:TQFP-48_7x7mm_P0.5mm,http://ww1.microchip.com/downloads/en/DeviceDoc/40002016A.pdf
,,U4,OKI-78SR-5_1.5-W36-C,Converter_DCDC:OKI-78SR-5_1.5-W36-C,Converter_DCDC:Converter_DCDC_muRata_OKI-78SR_Vertical,https://power.murata.com/data/power/oki-78sr.pdf
,,U5,LT1785xS8,Interface_UART:LT1785xS8,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,https://www.analog.com/media/en/technical-documentation/data-sheets/LT1785-1785A-1791-1791A.pdf
,,,,,,
,,,,,,
,,,,,,
Collated Components:,,,,,,
,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
1,2,"C1, C16",4u7,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~
2,13,"C2, C4, C5, C6, C7, C8, C9, C10, C11, C12, C15, C17, C18",0.1,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~
3,1,C3,0.01,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~
4,4,"C13, C14, C19, C20",4u7,Device:C,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,~
5,1,D1,D_Schottky,Device:D_Schottky,Diode_SMD:D_SOD-123F,~
6,1,D2,TX,Device:LED,LED_SMD:LED_0805_2012Metric,~
7,1,D3,RX,Device:LED,LED_SMD:LED_0805_2012Metric,~
8,1,D4,PWR,Device:LED,LED_SMD:LED_0805_2012Metric,~
9,1,D5,~Reset,Device:LED,LED_SMD:LED_0805_2012Metric,~
10,1,D6,13,Device:LED,LED_SMD:LED_0805_2012Metric,~
11,1,D7,BZT52Bxx,Diode:BZT52Bxx,Diode_SMD:D_SOD-123,https://diotec.com/tl_files/diotec/files/pdf/datasheets/bzt52b2v4.pdf
12,1,F1,1A,Device:Fuse,Fuse:Fuse_0805_2012Metric,~
13,1,FB1,600ohm,Device:Ferrite_Bead,Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
14,2,"J1, J4",Conn_01x06,Connector_Generic:Conn_01x06,Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical,~
15,1,J2,USB_C_Receptacle_USB2.0,dumb-rescue:USB_C_Receptacle_USB2.0-Connector,Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12,https://www.usb.org/sites/default/files/documents/usb_type-c.zip
16,1,J3,Conn_01x03,Connector_Generic:Conn_01x03,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~
17,2,"J5, J6",RS485,Connector:RJ45_Shielded,Connector_RJ:RJ45_Ninigi_GE,~
18,1,J7,VL53L1X_90_degree,Connector_Generic:Conn_02x05_Odd_Even,Connector_PinSocket_2.54mm:PinSocket_2x05_P2.54mm_Horizontal,~
19,1,P3,Digital_Analog,Connector_Generic:Conn_01x08,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,~
20,1,P5,Digital,Connector_Generic:Conn_01x08,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,~
21,2,"R1, R2",2k7,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~
22,3,"R3, R4, R10",10k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~
23,2,"R5, R6",5.11k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~
24,7,"R7, R8, R9, R11, R12, R13, R14",1k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~
25,3,"R15, R17, R18",0,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~
26,1,R16,120,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~
27,1,SW1,SW_Push,Switch:SW_Push,Button_Switch_SMD:SW_SPST_PTS645,~
28,1,SW2,SW_DIP_x01,Switch:SW_DIP_x01,Button_Switch_THT:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W7.62mm_P2.54mm_LowProfile,~
29,1,U1,VL53L1X-parallel,Sensor_Distance_xtra:VL53L1X-SATEL,Sensor_Distance_xtra:VL53L1X_SATEL,
30,1,U2,FT232RL,Interface_USB:FT232RL,Package_SO:SSOP-28_5.3x10.2mm_P0.65mm,https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT232R.pdf
31,1,U3,ATmega4809-A,MCU_Microchip_ATmega:ATmega4809-A,Package_QFP:TQFP-48_7x7mm_P0.5mm,http://ww1.microchip.com/downloads/en/DeviceDoc/40002016A.pdf
32,1,U4,OKI-78SR-5_1.5-W36-C,Converter_DCDC:OKI-78SR-5_1.5-W36-C,Converter_DCDC:Converter_DCDC_muRata_OKI-78SR_Vertical,https://power.murata.com/data/power/oki-78sr.pdf
33,1,U5,LT1785xS8,Interface_UART:LT1785xS8,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,https://www.analog.com/media/en/technical-documentation/data-sheets/LT1785-1785A-1791-1791A.pdf
